S,I,R,D
60461826,0,0,0
60461826,0,0,0
60461826,0,0,0
60461826,0,0,0
60461826,0,0,0
60461826,0,0,0
60461826,0,0,0
60461826,0,0,0
60461826,0,0,0
60461824,2,0,0
60461824,2,0,0
60461824,2,0,0
60461824,2,0,0
60461824,2,0,0
60461824,2,0,0
60461824,2,0,0
60461823,3,0,0
60461823,3,0,0
60461823,3,0,0
60461823,3,0,0
60461823,3,0,0
60461823,3,0,0
60461823,3,0,0
60461823,3,0,0
60461823,3,0,0
60461823,3,0,0
60461823,3,0,0
60461823,3,0,0
60461823,3,0,0
60461823,3,0,0
60461806,19,0,1
60461764,59,1,2
60461671,150,2,3
60461597,221,1,7
60461504,311,1,10
60461373,438,3,12
60461171,593,45,17
60460938,821,46,21
60460698,1053,46,29
60460132,1577,83,34
60459790,1835,149,52
60459324,2263,160,79
60458737,2706,276,107
60457968,3296,414,148
60457190,3916,523,197
60455943,5061,589,233
60454451,6387,622,366
60452654,7985,724,463
60451677,8794,724,631
60449364,10590,1045,827
60446713,13052,1045,1016
60444166,14955,1439,1266
60440669,17750,1966,1441
60437079,20603,2335,1809
60433846,23073,2749,2158
60430320,26062,2941,2503
60426113,28710,4025,2978
60420791,33190,4440,3405
60414805,38549,4440,4032
60408248,42681,6072,4825
60402688,46638,7024,5476
60397899,50826,7024,6077
60392650,54030,8326,6820
60387440,57521,9362,7503
60381237,62013,10361,8215
60375328,66414,10950,9134
60369354,70065,12384,10023
60364137,73880,13030,10779
60360087,75528,14620,11591
60356034,77635,15729,12428
60351252,80572,16847,13155
60346584,83049,18278,13915
60341999,85388,19758,14681
60337194,88274,20996,15362
60332878,91246,21815,15887
60329279,93187,22837,16523
60326240,94067,24392,17127
60322404,95262,26491,17669
60318200,96877,28470,18279
60314249,98273,30455,18849
60309555,100269,32534,19468
60305463,102253,34211,19899
60302310,103616,35435,20465
60299338,104291,37130,21067
60296671,105418,38092,21645
60292885,106607,40164,22170
60289392,106962,42727,22745
60285901,107771,44927,23227
60282854,108257,47055,23660
60280598,108237,48877,24114
60277869,107709,51600,24648
60274499,107699,54543,25085
60271853,106848,57576,25549
60268832,106527,60498,25969
60266475,105847,63120,26384
60264151,106103,64928,26644
60262412,105813,66624,26977
60260321,105205,68941,27359
60258235,104657,71252,27682
60256363,101551,75945,27967
60254398,100943,78249,28236
60252498,100704,79914,28710
60251109,100179,81654,28884
60249888,99980,82879,29079
60248813,98467,85231,29315
60247369,91528,93245,29684
60245968,89624,96276,29958
60244641,87961,99023,30201
60243558,84842,103031,30395
60242756,83324,105186,30560
60242012,82488,106587,30739
60240610,81266,109039,30911
60239722,78457,112541,31106
60238730,76440,115288,31368
60237941,72070,120205,31610
60237066,70187,122810,31763
60236391,68351,125176,31908
60235940,66553,127326,32007
60235127,65129,129401,32169
60234462,62752,132282,32330
60233820,60960,134560,32486
60233168,59322,136720,32616
60232499,57752,138840,32735
60231968,56594,140479,32785
60231668,55300,141981,32877
60231271,52942,144658,32955
60230687,50966,147101,33072
60230094,47986,150604,33142
60229578,46175,152844,33229
60229162,43691,155633,33340
60228829,42075,157507,33415
60228629,41367,158355,33475
60228311,39893,160092,33530
60227990,39297,160938,33601
60227813,38429,161895,33689
60227295,36976,163781,33774
60227025,35877,165078,33846
60226828,35262,165837,33899
60226548,34730,166584,33964
60226265,32872,168646,34043
60226063,31710,169939,34114
60225684,30637,171338,34167
60225521,28997,173085,34223
60225175,27485,174865,34301
60224837,26274,176370,34345
60224536,25909,177010,34371
60224326,24569,178526,34405
60223998,23925,179455,34448
60223667,23101,180544,34514
60223815,21543,181907,34561
60223551,21212,182453,34610
60223327,20972,182893,34634
60223106,20637,183426,34657
60222993,19573,184585,34675
60222416,18655,186111,34644
60222120,18303,186725,34678
60221865,17638,187615,34708
60221690,16836,188584,34716
60221516,16681,188891,34738
60221390,16496,189196,34744
60221248,15563,190248,34767
60221066,15255,190717,34788
60220865,15060,191083,34818
60220642,14884,191467,34833
60220407,14621,191944,34854
60220215,14642,192108,34861
60220007,14709,192241,34869
60219870,14242,192815,34899
60219677,13595,193640,34914
60219463,13459,193978,34926
60219187,13428,194273,34938
60218999,13303,194579,34945
60218765,13179,194928,34954
60218596,13157,195106,34967
60218482,12919,195441,34984
60218320,12493,196016,34997
60218090,12473,196246,35017
60217859,12456,196483,35028
60217610,12368,196806,35042
60217392,12440,196949,35045
60217202,12404,197162,35058
60217074,12248,197431,35073
60216794,12322,197628,35082
60216488,12404,197842,35092
60216236,12301,198192,35097
60215962,12442,198320,35102
60215708,12565,198446,35107
60215540,12581,198593,35112
60215338,12609,198756,35123
60215050,12616,199031,35129
60214668,12230,199796,35132
60214289,12422,199974,35141
60213994,12457,200229,35146
60213756,12456,200460,35154
60213597,12474,200589,35166
60213407,12482,200766,35171
60213023,12646,200976,35181
60212622,12694,201323,35187
60212070,12924,201642,35190
60211723,12953,201947,35203
60211260,13263,202098,35205
60211001,13368,202248,35209
60210589,13561,202461,35215
60210113,13791,202697,35225
60209591,14081,202923,35231
60209017,14249,203326,35234
60208388,14406,203640,35392
60207911,14733,203786,35396
60207591,14867,203968,35400
60207190,15089,204142,35405
60206548,15360,204506,35412
60205708,16014,204686,35418
