day,S,I,R,D,beta,gamma,mu,R0
0,999.0,1.0,0.0,0.0,0.1,0.06,0.003,1.5873015873015874
1,998.8982393352529,1.0375840039666,0.061120629314775604,0.0030560314657387807,0.1,0.06,0.003,1.5873015873015874
2,998.7926655818652,1.0765694132030588,0.12453809993507702,0.006226904996753853,0.1,0.06,0.003,1.5873015873015874
3,998.6831374699744,1.1170076163060962,0.19033801306633139,0.009516900653316571,0.1,0.06,0.003,1.5873015873015874
4,998.5695085778676,1.1589518347050913,0.25860913088329035,0.012930456544164522,0.1,0.06,0.003,1.5873015873015874
5,998.4516272064506,1.2024571638478125,0.32944345685889254,0.016472172842944627,0.1,0.06,0.003,1.5873015873015874
6,998.3293361776175,1.2475806413614348,0.4029363628773165,0.02014681814386583,0.1,0.06,0.003,1.5873015873015874
7,998.2024726907639,1.2943812949412452,0.4791866802810564,0.02395933401405282,0.1,0.06,0.003,1.5873015873015874
8,998.0708680472028,1.3429202342915785,0.5582968747675239,0.027914843738376206,0.1,0.06,0.003,1.5873015873015874
9,997.9343475141205,1.3932606959071279,0.6403731333071985,0.03201865666535993,0.1,0.06,0.003,1.5873015873015874
10,997.7927301177012,1.4454681114045964,0.7255254960898724,0.03627627480449363,0.1,0.06,0.003,1.5873015873015874
11,997.645828419809,1.4996101805071345,0.8138679996991143,0.040693399984955726,0.1,0.06,0.003,1.5873015873015874
12,997.4934483077726,1.5557569397780808,0.9055188118567454,0.04527594059283729,0.1,0.06,0.003,1.5873015873015874
13,997.3353887715028,1.6139808346951672,1.0006003750497505,0.05003001875248755,0.1,0.06,0.003,1.5873015873015874
14,997.1714416764007,1.67435679253543,1.0992395533944075,0.05496197766972039,0.1,0.06,0.003,1.5873015873015874
15,997.0013915292128,1.7369622970628098,1.2015677844995691,0.06007838922497849,0.1,0.06,0.003,1.5873015873015874
16,996.8250152347597,1.8018774653373213,1.3077212380030883,0.06538606190015445,0.1,0.06,0.003,1.5873015873015874
17,996.6420818807815,1.869185117926389,1.4178409536117236,0.07089204768058621,0.1,0.06,0.003,1.5873015873015874
18,996.4523524644983,1.9389708622570667,1.5320730221379506,0.07660365110689757,0.1,0.06,0.003,1.5873015873015874
19,996.2555796039551,2.0113231792357866,1.650568777913733,0.08252843889568669,0.1,0.06,0.003,1.5873015873015874
20,996.0515073057602,2.086333498293267,1.7734849485207405,0.08867424742603705,0.1,0.06,0.003,1.5873015873015874
21,995.8398706932243,2.164096278266153,1.9009838366760037,0.09504919183380023,0.1,0.06,0.003,1.5873015873015874
22,995.6203957467039,2.24470908496392,2.0332334936499383,0.10166167468249696,0.1,0.06,0.003,1.5873015873015874
23,995.3927989839044,2.328272687435071,2.1704079320578185,0.10852039660289096,0.1,0.06,0.003,1.5873015873015874
24,995.1567871919989,2.4148911349015143,2.312687307714126,0.11563436538570636,0.1,0.06,0.003,1.5873015873015874
25,994.9120571438318,2.50467183770291,2.460258112824354,0.12301290564121775,0.1,0.06,0.003,1.5873015873015874
26,994.6582952779369,2.597725662070201,2.6133133904696515,0.13066566952348263,0.1,0.06,0.003,1.5873015873015874
27,994.3951774006614,2.6941670106128885,2.772052941643679,0.138602647082184,0.1,0.06,0.003,1.5873015873015874
28,994.1223683753553,2.7941139066402707,2.936683540956684,0.14683417704783427,0.1,0.06,0.003,1.5873015873015874
29,993.8395218018728,2.897688086019179,3.107419154388768,0.15537095771943848,0.1,0.06,0.003,1.5873015873015874
30,993.5462796993711,3.0050150769187347,3.2844811654384434,0.16422405827192224,0.1,0.06,0.003,1.5873015873015874
31,993.2422721814145,3.116224282782584,3.4680986055268392,0.17340493027634202,0.1,0.06,0.003,1.5873015873015874
32,992.9271171173039,3.2314490745448774,3.658508388715791,0.18292541943578963,0.1,0.06,0.003,1.5873015873015874
33,992.6004198051648,3.3508268653351667,3.8559555519050717,0.19279777759525366,0.1,0.06,0.003,1.5873015873015874
34,992.261772634771,3.4744991901746918,4.060693500051964,0.20303467500259825,0.1,0.06,0.003,1.5873015873015874
35,991.910754734628,3.60261179557417,4.272984256950632,0.21364921284753172,0.1,0.06,0.003,1.5873015873015874
36,991.5469316427985,3.735314703530776,4.493098717781868,0.2246549358890935,0.1,0.06,0.003,1.5873015873015874
37,991.1698549585708,3.872762287273381,4.721316908720076,0.2360658454360039,0.1,0.06,0.003,1.5873015873015874
38,990.7790619749015,4.015113358421091,4.957928253978659,0.24789641269893306,0.1,0.06,0.003,1.5873015873015874
39,990.3740753391853,4.162531226886068,5.203231841837004,0.26016159209185025,0.1,0.06,0.003,1.5873015873015874
40,989.9544027464252,4.315183731892961,5.457536687316261,0.2728768343658131,0.1,0.06,0.003,1.5873015873015874
41,989.5195365352815,4.47324334350865,5.721162020200147,0.2860581010100074,0.1,0.06,0.003,1.5873015873015874
42,989.0689533446201,4.636887213429794,5.99443756376214,0.2997218781881071,0.1,0.06,0.003,1.5873015873015874
43,988.6021138243074,4.806297184718902,6.2777038009275286,0.3138851900463765,0.1,0.06,0.003,1.5873015873015874
44,988.1184622668146,4.981659852537748,6.571312267283585,0.32856561336417933,0.1,0.06,0.003,1.5873015873015874
45,987.6174262375451,5.16316662166643,6.87562584837006,0.3437812924185031,0.1,0.06,0.003,1.5873015873015874
46,987.0984162803696,5.351013709081329,7.191019057665838,0.359550952883292,0.1,0.06,0.003,1.5873015873015874
47,986.5608256575542,5.545402120261169,7.517878306842631,0.3758939153421316,0.1,0.06,0.003,1.5873015873015874
48,986.0040299330063,5.746537724587839,7.856602230862789,0.3928301115431395,0.1,0.06,0.003,1.5873015873015874
49,985.4273866904903,5.954631238130111,8.207601972742642,0.4103800986371322,0.1,0.06,0.003,1.5873015873015874
50,984.8302353559418,6.169898138936446,8.571301433449422,0.42856507167247126,0.1,0.06,0.003,1.5873015873015874
51,984.2118968301016,6.392558695461668,8.948137594701777,0.4474068797350889,0.1,0.06,0.003,1.5873015873015874
52,983.5716731973201,6.622837943665225,9.338560818109373,0.4669280409054688,0.1,0.06,0.003,1.5873015873015874
53,982.9088475691912,6.86096557914438,9.743035096823373,0.4871517548411689,0.1,0.06,0.003,1.5873015873015874
