day,S,I,R,D,beta,gamma,mu,R0
0,999.0,1.0,0.0,0.0,0.15,0.06,0.003,2.380952380952381
1,998.8434631066425,1.0907204301804099,0.06268234588296444,0.003134117294148222,0.15,0.06,0.003,2.380952380952381
2,998.672755172912,1.1896418806048892,0.13105042522200244,0.006552521261100123,0.15,0.06,0.003,2.380952380952381
3,998.4866008333177,1.297500191463791,0.2056180716367107,0.010280903581835534,0.15,0.06,0.003,2.380952380952381
4,998.2836114579857,1.4150961276314695,0.28694515655518693,0.014347257827759344,0.15,0.06,0.003,2.380952380952381
5,998.0622751592855,1.5433010240427396,0.3756417301637792,0.01878208650818896,0.15,0.06,0.003,2.380952380952381
6,997.8209463551013,1.6830626650171392,0.47237236179219544,0.023618618089609772,0.15,0.06,0.003,2.380952380952381
7,997.557834259767,1.8354117493385502,0.5778609437092534,0.028893047185462675,0.15,0.06,0.003,2.380952380952381
8,997.2709904862315,2.001468830401154,0.6928958889215325,0.03464479444607663,0.15,0.06,0.003,2.380952380952381
9,996.9582958667612,2.1824516718492113,0.8183356775141019,0.0409167838757051,0.15,0.06,0.003,2.380952380952381
10,996.6174459784424,2.379683285685748,0.9551149865447651,0.04775574932723826,0.15,0.06,0.003,2.380952380952381
11,996.2459356545587,2.594600498695189,1.104251282615552,0.0552125641307776,0.15,0.06,0.003,2.380952380952381
12,995.8410425498706,2.8287629987073997,1.2668518584973107,0.06334259292486553,0.15,0.06,0.003,2.380952380952381
13,995.3998093579263,3.083863061723733,1.4441215050955263,0.07220607525477632,0.15,0.06,0.003,2.380952380952381
14,994.9190247630945,3.361735909279636,1.637370788215324,0.0818685394107662,0.15,0.06,0.003,2.380952380952381
15,994.3952031282995,3.6643706741166846,1.848024950080027,0.09240124750400135,0.15,0.06,0.003,2.380952380952381
16,993.8245628566526,3.993921980805324,2.0776334881356373,0.10388167440678187,0.15,0.06,0.003,2.380952380952381
17,993.2030033803328,4.352722151356898,2.327880446010096,0.11639402230050477,0.15,0.06,0.003,2.380952380952381
18,992.5260807631058,4.7432940054414425,2.6005954585266475,0.13002977292633236,0.15,0.06,0.003,2.380952380952381
19,991.7889819137148,5.168364242682459,2.897765565336135,0.14488827826680672,0.15,0.06,0.003,2.380952380952381
20,990.9864974482659,5.630877292836875,3.221547865616544,0.16107739328082718,0.15,0.06,0.003,2.380952380952381
21,990.1129931416424,6.134009657755579,3.5742830481926515,0.1787141524096326,0.15,0.06,0.003,2.380952380952381
22,989.1623803172203,6.681184513213858,3.9585096853009936,0.1979254842650497,0.15,0.06,0.003,2.380952380952381
23,988.1280848555534,7.276086629601166,4.376979537948264,0.21884897689741326,0.15,0.06,0.003,2.380952380952381
24,987.003015481524,7.922677189087468,4.832673647036806,0.24163368235184032,0.15,0.06,0.003,2.380952380952381
25,985.7795310405207,8.625208585358543,5.3288194039247,0.266440970196235,0.15,0.06,0.003,2.380952380952381
26,984.4494074709245,9.388238677198524,5.868908430359133,0.2934454215179566,0.15,0.06,0.003,2.380952380952381
27,983.0038045577497,10.216644353942275,6.456715322198144,0.3228357661099072,0.15,0.06,0.003,2.380952380952381
28,981.4332329057967,11.115634043629926,7.096317191022375,0.3548158595511187,0.15,0.06,0.003,2.380952380952381
29,979.7275219978709,12.090758462592836,7.792113847177544,0.3896056923588772,0.15,0.06,0.003,2.380952380952381
30,977.8757892419776,13.147919626398416,8.548848696785084,0.4274424348392542,0.05,0.06,0.003,0.7936507936507937
31,977.2376621187566,12.963547030847952,9.332181762282186,0.46660908811410917,0.05,0.06,0.003,0.7936507936507937
32,976.6089011352019,12.781355014106829,10.104517953040128,0.5052258976520067,0.05,0.06,0.003,0.7936507936507937
33,975.9893825978206,12.601330309925828,10.865987706908932,0.5432993853454504,0.05,0.06,0.003,0.7936507936507937
34,975.378984061131,12.423459249408486,11.61672065662989,0.5808360328315039,0.05,0.06,0.003,0.7936507936507937
35,974.7775842744577,12.247727837544083,12.356845607618144,0.6178422803809188,0.05,0.06,0.003,0.7936507936507937
36,974.1850631848887,12.074121777556671,13.086490511957642,0.654324525597901,0.05,0.06,0.003,0.7936507936507937
37,973.6013019431683,11.902626485526177,13.805782448863177,0.6902891224431842,0.05,0.06,0.003,0.7936507936507937
38,973.026182900602,11.733227102218901,14.514847616361816,0.7257423808181164,0.05,0.06,0.003,0.7936507936507937
39,972.4595896061983,11.565908503688947,15.213811323917664,0.7606905661959095,0.05,0.06,0.003,0.7936507936507937
40,971.9014068183861,11.400655330483525,15.902797953458174,0.7951398976729354,0.05,0.06,0.003,0.7936507936507937
41,971.3515204947042,11.237451991796682,16.581930965237895,0.8290965482619215,0.05,0.06,0.003,0.7936507936507937
42,970.8098177941895,11.076282682596712,17.251332879251983,0.8625666439626258,0.05,0.06,0.003,0.7936507936507937
43,970.2761870814481,10.917131402430178,17.911125253449832,0.8955562626725182,0.05,0.06,0.003,0.7936507936507937
44,969.7505179156467,10.7599819614699,18.561428688461024,0.9280714344230778,0.05,0.06,0.003,0.7936507936507937
45,969.232701055477,10.604817999448615,19.202362804833356,0.9601181402416945,0.05,0.06,0.003,0.7936507936507937
46,968.7226284570094,10.451622998868183,19.834046232498093,0.9917023116249312,0.05,0.06,0.003,0.7936507936507937
47,968.2201932633989,10.300380291416634,20.45659661446199,1.0228298307231258,0.05,0.06,0.003,0.7936507936507937
48,967.7252898101326,10.15107307745484,21.07013058325061,1.053506529162557,0.05,0.06,0.003,0.7936507936507937
49,967.2378136156941,10.003684432677474,21.674763763456113,1.083738188172832,0.05,0.06,0.003,0.7936507936507937
50,966.7576613743869,9.858197316689372,22.270610770403998,1.1135305385202263,0.05,0.06,0.003,0.7936507936507937
51,966.2847309653903,9.714594596691963,22.857785178969756,1.1428892589485142,0.05,0.06,0.003,0.7936507936507937
52,965.8189214453257,9.572859055788083,23.436399522749223,1.1718199761374877,0.05,0.06,0.003,0.7936507936507937
53,965.3601330394827,9.432973399837929,24.006565295885636,1.2003282647943085,0.05,0.06,0.003,0.7936507936507937
54,964.9082671096102,9.294920241685308,24.56839299876666,1.22841964993836,0.05,0.06,0.003,0.7936507936507937
