day,S,I,R,D,beta,gamma,mu,R0
0,999.0,1.1959227328325874,0.0,0.02029207597969443,0.15,0.06,0.003,2.380952380952381
1,998.8434631066425,1.0361837926104434,0.06268234588296444,0.004274387379813661,0.15,0.06,0.003,2.380952380952381
2,998.672755172912,1.445114585861511,0.13105042522200244,0.015397310685271157,0.15,0.06,0.003,2.380952380952381
3,998.4866008333177,1.898240415683526,0.2056180716367107,0.0,0.15,0.06,0.003,2.380952380952381
4,998.2836114579857,1.3227372350980984,0.28694515655518693,0.016566708986137726,0.15,0.06,0.003,2.380952380952381
5,998.0622751592855,1.4509486072966196,0.3756417301637792,0.06387694681796005,0.15,0.06,0.003,2.380952380952381
6,997.8209463551013,2.305963560155225,0.47237236179219544,0.15502292094229062,0.15,0.06,0.003,2.380952380952381
7,997.557834259767,2.138116853460829,0.5778609437092534,0.11575716833207589,0.15,0.06,0.003,2.380952380952381
8,997.2709904862315,1.816290485613389,0.6928958889215325,0.22962028703281034,0.15,0.06,0.003,2.380952380952381
9,996.9582958667612,2.396457747216116,0.8183356775141019,0.0,0.15,0.06,0.003,2.380952380952381
10,996.6174459784424,2.1968939283292706,0.9551149865447651,0.1267463361420459,0.15,0.06,0.003,2.380952380952381
11,996.2459356545587,2.4108991776682664,1.104251282615552,0.07181459326024957,0.15,0.06,0.003,2.380952380952381
12,995.8410425498706,2.92420201368253,1.2668518584973107,0.261634151581454,0.15,0.06,0.003,2.380952380952381
13,995.3998093579263,2.329193415337634,1.4441215050955263,0.0,0.15,0.06,0.003,2.380952380952381
14,994.9190247630945,2.6813634785589544,1.637370788215324,0.005829846431512464,0.15,0.06,0.003,2.380952380952381
15,994.3952031282995,3.442583336875091,1.848024950080027,0.038124901395656545,0.15,0.06,0.003,2.380952380952381
16,993.8245628566526,3.594423315847162,2.0776334881356373,0.0,0.15,0.06,0.003,2.380952380952381
17,993.2030033803328,4.47667311151008,2.327880446010096,0.0687857279014199,0.15,0.06,0.003,2.380952380952381
18,992.5260807631058,4.385135178527815,2.6005954585266475,0.0612886106951627,0.15,0.06,0.003,2.380952380952381
19,991.7889819137148,4.611298576085817,2.897765565336135,0.15850677236975028,0.15,0.06,0.003,2.380952380952381
20,990.9864974482659,6.208984259266186,3.221547865616544,0.1920241620923383,0.15,0.06,0.003,2.380952380952381
21,990.1129931416424,6.044954998185302,3.5742830481926515,0.34860562271993245,0.15,0.06,0.003,2.380952380952381
22,989.1623803172203,6.707820175446412,3.9585096853009936,0.2839884908486451,0.15,0.06,0.003,2.380952380952381
23,988.1280848555534,6.714112390395423,4.376979537948264,0.16660905916751473,0.15,0.06,0.003,2.380952380952381
24,987.003015481524,7.707952179845761,4.832673647036806,0.16028022227594035,0.15,0.06,0.003,2.380952380952381
25,985.7795310405207,8.668960624186262,5.3288194039247,0.3109853526022598,0.15,0.06,0.003,2.380952380952381
26,984.4494074709245,8.934243545805048,5.868908430359133,0.17389534856886407,0.15,0.06,0.003,2.380952380952381
27,983.0038045577497,10.364833774412457,6.456715322198144,0.48867845806525323,0.15,0.06,0.003,2.380952380952381
28,981.4332329057967,10.878719567043195,7.096317191022375,0.46161680329462185,0.15,0.06,0.003,2.380952380952381
29,979.7275219978709,11.975703483258693,7.792113847177544,0.3471207865583079,0.15,0.06,0.003,2.380952380952381
30,977.8757892419776,12.910583921110478,8.548848696785084,0.27231426745539783,0.05,0.06,0.003,0.7936507936507937
31,977.2376621187566,13.694155171717593,9.332181762282186,0.589205262967561,0.05,0.06,0.003,0.7936507936507937
32,976.6089011352019,12.776031201325816,10.104517953040128,0.4948540582052246,0.05,0.06,0.003,0.7936507936507937
33,975.9893825978206,12.184129361469566,10.865987706908932,0.6553864239133951,0.05,0.06,0.003,0.7936507936507937
34,975.378984061131,12.747901881211556,11.61672065662989,0.4364570383422847,0.05,0.06,0.003,0.7936507936507937
35,974.7775842744577,11.766181211957546,12.356845607618144,0.5635675300285236,0.05,0.06,0.003,0.7936507936507937
36,974.1850631848887,12.156505430356766,13.086490511957642,0.6547993543482296,0.05,0.06,0.003,0.7936507936507937
37,973.6013019431683,11.129658927035411,13.805782448863177,0.6945433203999538,0.05,0.06,0.003,0.7936507936507937
38,973.026182900602,11.209340599624294,14.514847616361816,0.6849879446616184,0.05,0.06,0.003,0.7936507936507937
39,972.4595896061983,11.643557974891769,15.213811323917664,0.8170910221551395,0.05,0.06,0.003,0.7936507936507937
40,971.9014068183861,11.691934307700354,15.902797953458174,0.6984644773487781,0.05,0.06,0.003,0.7936507936507937
41,971.3515204947042,11.305046083424676,16.581930965237895,0.8162037671000523,0.05,0.06,0.003,0.7936507936507937
42,970.8098177941895,11.030666652943564,17.251332879251983,0.8734596827607249,0.05,0.06,0.003,0.7936507936507937
43,970.2761870814481,10.798364786765593,17.911125253449832,0.9421398509450467,0.05,0.06,0.003,0.7936507936507937
44,969.7505179156467,10.176797312613495,18.561428688461024,0.9925097549673483,0.05,0.06,0.003,0.7936507936507937
45,969.232701055477,10.320884385583554,19.202362804833356,0.8582792807084976,0.05,0.06,0.003,0.7936507936507937
46,968.7226284570094,10.269929752746716,19.834046232498093,0.8527848385236712,0.05,0.06,0.003,0.7936507936507937
47,968.2201932633989,10.717349033384803,20.45659661446199,1.1385263277140119,0.05,0.06,0.003,0.7936507936507937
48,967.7252898101326,10.286609047057038,21.07013058325061,1.083598307011275,0.05,0.06,0.003,0.7936507936507937
49,967.2378136156941,9.308275124852807,21.674763763456113,1.0159610563972408,0.05,0.06,0.003,0.7936507936507937
50,966.7576613743869,9.98602821614358,22.270610770403998,1.2539908229932462,0.05,0.06,0.003,0.7936507936507937
51,966.2847309653903,9.562703670518045,22.857785178969756,1.1533638560837267,0.05,0.06,0.003,0.7936507936507937
52,965.8189214453257,9.305855574187175,23.436399522749223,1.278607976646617,0.05,0.06,0.003,0.7936507936507937
53,965.3601330394827,9.67424152032953,24.006565295885636,1.2064422144624933,0.05,0.06,0.003,0.7936507936507937
54,964.9082671096102,9.701585207384264,24.56839299876666,1.4150249886309814,0.05,0.06,0.003,0.7936507936507937
55,964.4632261863329,9.526014032457857,25.121992062746465,1.4150496466968328,0.05,0.06,0.003,0.7936507936507937
56,964.024913956829,8.693222705292893,25.66747085861597,1.2608292818456572,0.05,0.06,0.003,0.7936507936507937
57,963.5932352570246,8.769616227450769,26.204936696733004,1.3982247598306483,0.05,0.06,0.003,0.7936507936507937
