day,S,I,R,D,beta,gamma,mu,R0
0,99900.0,100.0,0.0,0.0,0.3,0.06,0.003,4.761904761904762
1,99866.19211197291,126.69992197871218,6.769491474590433,0.33847457372952716,0.3,0.06,0.003,4.761904761904762
2,99823.37642420422,160.5103375765458,15.345941161117445,0.7672970580558726,0.3,0.06,0.003,4.761904761904762
3,99769.16546984285,203.3137507597495,26.21026609272762,1.3105133046363813,0.3,0.06,0.003,4.761904761904762
4,99700.54659092225,257.48435576284334,39.97052696653669,1.998526348326835,0.3,0.06,0.003,4.761904761904762
5,99613.72280566972,326.01241525896535,57.39502768693088,2.8697513843465448,0.3,0.06,0.003,4.761904761904762
6,99503.91592102544,412.65766709452356,79.45372559999068,3.9726862799995337,0.3,0.06,0.003,4.761904761904762
7,99365.12465386446,522.1370103413927,107.36984361343475,5.368492180671738,0.3,0.06,0.003,4.761904761904762
8,99189.83013763277,660.3517585748501,142.6839083736706,7.13419541868353,0.3,0.06,0.003,4.761904761904762
9,98968.641705994,834.6589329153794,187.33272484817826,9.366636242408914,0.3,0.06,0.003,4.761904761904762
10,98689.87770372887,1054.188978036472,243.74601736630544,12.187300868315273,0.3,0.06,0.003,4.761904761904762
11,98339.08046828525,1330.2078653931346,314.9634917348522,15.748174586742609,0.3,0.06,0.003,4.761904761904762
12,97898.47275763773,1676.5137688638638,404.7747366651253,20.23873683325627,0.3,0.06,0.003,4.761904761904762
13,97346.37694202091,2109.8454469100393,517.8834391133387,25.894171955666934,0.3,0.06,0.003,4.761904761904762
14,96656.64107069476,2650.258748421582,660.0954103653557,33.00477051826778,0.3,0.06,0.003,4.761904761904762
15,95798.14855532772,3321.398560237429,838.5265566045932,41.92632783022965,0.3,0.06,0.003,4.761904761904762
16,94734.53623021046,4150.551469576742,1061.8212382978777,53.091061914893885,0.3,0.06,0.003,4.761904761904762
17,93424.30372283062,5168.314834345219,1340.3632788801276,67.01816394400639,0.3,0.06,0.003,4.761904761904762
18,91821.5642723566,6407.662990633523,1686.4502257236713,84.32251128618358,0.3,0.06,0.003,4.761904761904762
19,89877.74265310168,7902.1509208475145,2114.3870724293056,105.7193536214653,0.3,0.06,0.003,4.761904761904762
20,87544.5403335482,9682.997914606325,2640.439763662328,132.02198818311643,0.3,0.06,0.003,4.761904761904762
21,84778.4094304973,11774.886237847924,3282.5755539568963,164.12877769784487,0.3,0.06,0.003,4.761904761904762
22,81546.5482296768,14190.542510370904,4059.9135809069207,202.9956790453461,0.3,0.06,0.003,4.761904761904762
23,77834.00817568116,16924.576213349654,4991.8243913991955,249.59121956995992,0.3,0.06,0.003,4.761904761904762
24,73650.9182197893,19947.587340447695,6096.661371202841,304.8330685601421,0.3,0.06,0.003,4.761904761904762
25,69038.23529789368,23202.07157561781,7390.18392998902,369.5091964994511,0.3,0.06,0.003,4.761904761904762
26,64070.11654267556,26601.85906695312,8883.832752734557,444.191637636728,0.3,0.06,0.003,4.761904761904762
27,58851.30743954073,30036.42402423949,10583.112891637851,529.1556445818927,0.3,0.06,0.003,4.761904761904762
28,53509.016084544244,33380.27376017693,12486.390624075028,624.3195312037516,0.3,0.06,0.003,4.761904761904762
29,48180.331601317186,36506.07327441446,14584.37630882696,729.2188154413483,0.3,0.06,0.003,4.761904761904762
30,42997.743266250516,39298.793485676215,16860.44118864117,843.0220594320585,0.3,0.06,0.003,4.761904761904762
31,38075.95504532668,41667.72416025082,19291.73408992614,964.5867044963072,0.3,0.06,0.003,4.761904761904762
32,33502.67135223809,43553.894086160566,21850.890058667894,1092.5445029333953,0.3,0.06,0.003,4.761904761904762
33,29334.630913856297,44931.94968664691,24508.018475711164,1225.4009237855587,0.3,0.06,0.003,4.761904761904762
34,25598.5878286725,45807.1294492829,27232.650211470987,1361.6325105735498,0.3,0.06,0.003,4.761904761904762
35,22295.83458715758,46208.998929038324,29995.39665124194,1499.769832562097,0.3,0.06,0.003,4.761904761904762
36,19408.488286824348,46183.86863771235,32769.18388139357,1638.4591940696785,0.3,0.06,0.003,4.761904761904762
37,16905.990540293955,45787.47428834104,35530.033496538046,1776.5016748269022,0.3,0.06,0.003,4.761904761904762
38,14750.807213536242,45078.88316940124,38257.437730535676,1912.871886526784,0.3,0.06,0.003,4.761904761904762
39,12902.858288513436,44116.0043625264,40934.41652281915,2046.720826140958,0.3,0.06,0.003,4.761904761904762
40,11322.614733881623,42952.664706612166,43547.35291381538,2177.367645690769,0.3,0.06,0.003,4.761904761904762
41,9973.035272082627,41636.986228766575,46085.69380871499,2304.2846904357493,0.3,0.06,0.003,4.761904761904762
42,8820.605028452313,40210.731745718935,48541.58402459875,2427.079201229937,0.3,0.06,0.003,4.761904761904762
43,7835.741882870039,38709.30189413962,50909.48211713359,2545.4741058566788,0.3,0.06,0.003,4.761904761904762
44,6992.794197513567,37162.12739988694,53185.78895485661,2659.28944774283,0.3,0.06,0.003,4.761904761904762
45,6269.799200079331,35593.268593864304,55368.50686291078,2768.425343145538,0.3,0.06,0.003,4.761904761904762
46,5648.1202961238005,34022.09524086361,57456.93758382147,2872.8468791910727,0.3,0.06,0.003,4.761904761904762
47,5112.04036270592,32463.967114823292,59451.421449972135,2972.571072498606,0.3,0.06,0.003,4.761904761904762
48,4648.357280979704,30930.870769792942,61353.11614212124,3067.6558071060617,0.3,0.06,0.003,4.761904761904762
49,4246.007403670703,29431.990215029735,63163.811791713815,3158.1905895856908,0.3,0.06,0.003,4.761904761904762
50,3895.728883996429,27974.204104301123,64885.77810638323,3244.2889053191616,0.3,0.06,0.003,4.761904761904762
51,3589.768608334335,26562.510293447773,66521.63914115985,3326.081957057992,0.3,0.06,0.003,4.761904761904762
52,3321.6316731584466,25200.38326263839,68074.27148971724,3403.7135744858615,0.3,0.06,0.003,4.761904761904762
53,3085.8699180064946,23890.07188283175,69546.72209443971,3477.336104721985,0.3,0.06,0.003,4.761904761904762
54,2877.904973023537,22632.845578702025,70942.14233168989,3547.1071165844937,0.3,0.06,0.003,4.761904761904762
55,2693.881071519231,21429.196637126723,72263.73551557523,3613.186775778761,0.3,0.06,0.003,4.761904761904762
56,2530.5430992801444,20279.005729567492,73514.71540109743,3675.7357700548714,0.3,0.06,0.003,4.761904761904762
57,2385.1357475102413,19181.676886749996,74698.27368165686,3734.913684082843,0.3,0.06,0.003,4.761904761904762
58,2255.3202805307014,18136.247183888616,75817.55479579107,3790.8777397895533,0.3,0.06,0.003,4.761904761904762
59,2139.105842511901,17141.475670791522,76875.6366539967,3843.781832699834,0.3,0.06,0.003,4.761904761904762
60,2034.7926961534085,16195.915283083557,77875.51621025047,3893.7758105125226,0.3,0.06,0.003,4.761904761904762
61,1940.9253082050354,15297.970857775907,78820.09888954191,3941.004944477095,0.3,0.06,0.003,4.761904761904762
62,1856.2535198963474,14445.945766033572,79712.19115625716,3985.609557812858,0.3,0.06,0.003,4.761904761904762
63,1779.7003462080552,13638.07928823212,80554.4955862474,4027.7247793123697,0.3,0.06,0.003,4.761904761904762
64,1710.3352309347847,12872.576415616395,81349.6079556655,4067.4803977832744,0.3,0.06,0.003,4.761904761904762
65,1647.3517536329891,12147.63153502298,82100.0159155657,4105.000795778284,0.3,0.06,0.003,4.761904761904762
66,1590.0490349680022,11461.447079688423,82808.09893842241,4140.4049469211195,0.3,0.06,0.003,4.761904761904762
67,1537.8161790792153,10812.24810110054,83476.12925697162,4173.80646284858,0.3,0.06,0.003,4.761904761904762
68,1490.1192224405909,10198.293525001918,84106.27357386422,4205.313678693211,0.3,0.06,0.003,4.761904761904762
69,1446.4901629905685,9617.884704086946,84700.59536468804,4235.0297682344,0.3,0.06,0.003,4.761904761904762
70,1406.5177016193986,9069.37179442038,85261.05762281922,4263.0528811409595,0.3,0.06,0.003,4.761904761904762
71,1369.8394200352705,8551.158349794956,85789.52593349498,4289.476296674748,0.3,0.06,0.003,4.761904761904762
72,1336.1351512993215,8061.70448065209,86287.77177909386,4314.388588954691,0.3,0.06,0.003,4.761904761904762
73,1305.1213455581487,7599.528856857667,86757.47599769919,4337.873799884957,0.3,0.06,0.003,4.761904761904762
74,1276.5462715404967,7163.209778090743,87200.23233368451,4360.011616684223,0.3,0.06,0.003,4.761904761904762
75,1250.1859147919524,6751.385505705146,87617.551028098,4380.877551404897,0.3,0.06,0.003,4.761904761904762
76,1225.8404666304912,6362.7540016584235,88010.8624111534,4400.543120557668,0.3,0.06,0.003,4.761904761904762
77,1203.3313119917943,5996.072199356308,88381.52046538274,4419.076023269135,0.3,0.06,0.003,4.761904761904762
78,1182.4984276419955,5650.154926306072,88730.80632957324,4436.54031647866,0.3,0.06,0.003,4.761904761904762
79,1163.1981558168873,5323.87351955354,89059.93173774243,4452.9965868871195,0.3,0.06,0.003,4.761904761904762
80,1145.3012613168046,5016.154260483843,89370.04236018984,4468.50211800949,0.3,0.06,0.003,4.761904761904762
81,1128.6912538281483,4725.976645312364,89662.22104843758,4483.1110524218775,0.3,0.06,0.003,4.761904761904762
82,1113.2629339160337,4452.371542082626,89937.49097523934,4496.874548761966,0.3,0.06,0.003,4.761904761904762
83,1098.9211214734044,4194.419286520208,90196.81865905366,4509.840932952682,0.3,0.06,0.003,4.761904761904762
84,1085.5795477029008,3951.247734875621,90441.1168737347,4522.055843686734,0.3,0.06,0.003,4.761904761904762
85,1073.1598868318831,3722.030300319022,90671.24744080864,4533.56237204043,0.3,0.06,0.003,4.761904761904762
86,1061.5909072758438,3505.983992821678,90888.023904669,4544.401195233448,0.3,0.06,0.003,4.761904761904762
87,1050.8077246914725,3302.3674812803088,91092.21408955066,4554.610704477531,0.3,0.06,0.003,4.761904761904762
88,1040.7511464073016,3110.479184515196,91284.54254197855,4564.227127098925,0.3,0.06,0.003,4.761904761904762
89,1031.3670903534282,2929.6554077358396,91465.69285896257,4573.284642948126,0.3,0.06,0.003,4.761904761904762
90,1022.606073652614,2759.2685245083976,91636.3099065133,4581.815495325663,0.3,0.06,0.003,4.761904761904762
91,1014.4227612273345,2598.7252105865755,91797.00193160577,4589.850096580286,0.3,0.06,0.003,4.761904761904762
92,1006.7755628883315,2447.4647406015256,91948.34256810487,4597.417128405241,0.3,0.06,0.003,4.761904761904762
93,999.6262734977156,2304.9573468497933,92090.87274252613,4604.543637126306,0.3,0.06,0.003,4.761904761904762
94,992.9397588065899,2170.702632199682,92225.10248475589,4611.255124237793,0.3,0.06,0.003,4.761904761904762
95,986.6836671578611,2044.2280571331482,92351.51264353233,4617.575632176615,0.3,0.06,0.003,4.761904761904762
96,980.8281793004975,1925.0874802565743,92470.55651470751,4623.527825735374,0.3,0.06,0.003,4.761904761904762
97,975.3457784224719,1812.8597698563487,92582.66138259156,4629.133069129576,0.3,0.06,0.003,4.761904761904762
98,970.2110479817658,1707.1474726537642,92688.22998034707,4634.411499017352,0.3,0.06,0.003,4.761904761904762
99,965.4004880966698,1607.5755458385145,92787.64187244263,4639.38209362213,0.3,0.06,0.003,4.761904761904762
100,960.8923504687792,1513.7901484862468,92881.25476289993,4644.062738144995,0.3,0.06,0.003,4.761904761904762
101,956.6664908265129,1425.4574903152438,92969.4057322459,4648.470286612293,0.3,0.06,0.003,4.761904761904762
102,952.704234072794,1342.2627378857887,93052.41240765846,4652.6206203829215,0.3,0.06,0.003,4.761904761904762
103,948.9882542836935,1263.9089736811982,93130.57406860482,4656.52870343024,0.3,0.06,0.003,4.761904761904762
104,945.5024609555867,1190.1162112612858,93204.17269312675,4660.2086346563365,0.3,0.06,0.003,4.761904761904762
105,942.2319062905791,1120.6204534543726,93273.4739431,4663.673697154999,0.3,0.06,0.003,4.761904761904762
106,939.1626891602898,1055.1728067236174,93338.72809915815,4666.936404957906,0.3,0.06,0.003,4.761904761904762
107,936.2818759391952,993.5386375876806,93400.17093949819,4670.008546974907,0.3,0.06,0.003,4.761904761904762
108,933.5774246843182,935.496774500343,93458.02457220505,4672.901228610251,0.3,0.06,0.003,4.761904761904762
109,931.0381162072024,880.8387523904427,93512.49822038316,4675.624911019157,0.3,0.06,0.003,4.761904761904762
110,928.6534940434088,829.3680965346849,93563.78896135416,4678.1894480677065,0.3,0.06,0.003,4.761904761904762
111,926.413804499712,780.8996459930333,93612.08242810212,4680.604121405104,0.3,0.06,0.003,4.761904761904762
112,924.309947565796,735.2589134868834,93657.55346566408,4682.877673283202,0.3,0.06,0.003,4.761904761904762
113,922.3334264895545,692.2814792347087,93700.36675645306,4685.01833782265,0.3,0.06,0.003,4.761904761904762
114,920.4763060109177,651.8124197612403,93740.6774040265,4687.033870201322,0.3,0.06,0.003,4.761904761904762
115,918.7311708243415,613.7057661811227,93778.6314885662,4688.931574428308,0.3,0.06,0.003,4.761904761904762
116,917.0910891249703,577.8239938249294,93814.36658766674,4690.718329383335,0.3,0.06,0.003,4.761904761904762
117,915.5495786162253,544.0375395438786,93848.01226841893,4692.400613420944,0.3,0.06,0.003,4.761904761904762
118,914.1005745526186,512.2243455531132,93879.69055228023,4693.9845276140095,0.3,0.06,0.003,4.761904761904762
119,912.7384017013151,482.26943035756716,93909.51635042008,4695.475817521003,0.3,0.06,0.003,4.761904761904762
120,911.4577466306487,454.0644811369316,93937.59787831656,4696.879893915827,0.3,0.06,0.003,4.761904761904762
121,910.253634090123,427.50747240457486,93964.03704143359,4698.201852071678,0.3,0.06,0.003,4.761904761904762
122,909.12140279672,402.50230152927224,93988.9298054038,4699.446490270188,0.3,0.06,0.003,4.761904761904762
123,908.056685029537,378.9584491181652,94012.36653890692,4700.618326945345,0.3,0.06,0.003,4.761904761904762
124,907.0553879924489,356.79065914254755,94034.43233606187,4701.721616803093,0.3,0.06,0.003,4.761904761904762
