day,S,I,R,D,beta,gamma,mu,R0
0,999.0,1.0,0.0,0.0,0.1,0.06,0.003,1.5873015873015874
1,998.8965766624077,1.039212784000559,0.061152908182395445,0.0030576454091197727,0.10313952597646568,0.06,0.003,1.6371353329597726
2,998.7856182796808,1.0833377923769003,0.12480374089734882,0.006240187044867442,0.10626666167821522,0.06,0.003,1.6867724075907178
3,998.6663334654934,1.1328424830854835,0.19126100135322155,0.009563050067661078,0.10936906572928624,0.06,0.003,1.736016916337877
4,998.5378455628062,1.1882484621356393,0.260862833388468,0.013043141669423402,0.11243449435824274,0.06,0.003,1.7846745136229005
5,998.3991835419764,1.250137010821553,0.33398042590639787,0.016699021295319895,0.11545084971874738,0.06,0.003,1.832553170138847
6,998.2492720847175,1.319155011033663,0.41102181356998435,0.020551090678499223,0.1184062276342339,0.06,0.003,1.8794639307021255
7,998.0869212632049,1.3960210009373468,0.49243593891173,0.024621796945586506,0.12128896457825365,0.06,0.003,1.9252216599722802
8,997.9108153683533,1.4815315977691483,0.578717175121025,0.028935858756051258,0.12408768370508577,0.06,0.003,1.9696457730965995
9,997.7195012826467,1.5765680120925882,0.6704101954859569,0.03352050977429785,0.12679133974894982,0.06,0.003,2.012560948396029
10,997.5113763950714,1.6821026092371498,0.768115233991587,0.03840576169957936,0.12938926261462366,0.06,0.003,2.053797819279741
11,997.2846761324308,1.7992053847365677,0.8724937931735383,0.04362468965867691,0.1318711994874345,0.06,0.003,2.0931936426576905
12,997.0374615237732,1.9290501018986534,0.98427464221692,0.049213732110846,0.13422735529643445,0.06,0.003,2.130592941213245
13,996.7676068373823,2.0729199215548983,1.1042602295833595,0.055213011479167975,0.1364484313710706,0.06,0.003,2.165848117001121
14,996.4727877291057,2.2322121999692914,1.2333334008808134,0.06166667004404068,0.13852566213878945,0.06,0.003,2.1988200339490387
15,996.1504703109971,2.4084421080581255,1.3724643628042827,0.06862321814021415,0.14045084971874738,0.06,0.003,2.229378566964244
16,995.79790161998,2.6032446666458635,1.5227178222607525,0.07613589111303763,0.14221639627510077,0.06,0.003,2.25740311547779
17,995.4121020798896,2.818374722451156,1.685260188246614,0.08426300941233071,0.14381533400219318,0.06,0.003,2.282783079399892
18,994.989860637111,3.0557043307292395,1.8613666972947043,0.0930683348647352,0.14524135262330098,0.06,0.003,2.3054182956079523
19,994.5277333420827,3.3172169540539422,2.052428289393291,0.10262141446966454,0.14648882429441257,0.06,0.003,2.325219433244644
20,994.0220462292284,3.6049978443390205,2.259958025173513,0.11299790125867563,0.14755282581475768,0.06,0.003,2.342108346265995
21,993.4689033923037,3.921219962569662,2.485596804882231,0.12427984024411151,0.14842915805643156,0.06,0.003,2.35601838184812
22,992.8642014266452,4.2681246241909925,2.7311180468223095,0.13655590234111545,0.14911436253643445,0.06,0.003,2.3668946434354674
23,992.2036508287207,4.647996517890731,2.998431098464892,0.14992155492324455,0.1496057350657239,0.06,0.003,2.3746942073924426
24,991.4828057206329,5.063132213784268,3.2895829196023336,0.16447914598011662,0.1499013364214136,0.06,0.003,2.37938629240339
25,990.6971025875025,5.51580184256044,3.606757685653893,0.1803378842826946,0.15000000000000002,0.06,0.003,2.3809523809523814
26,989.8419088864894,6.008203558511212,3.95227386190378,0.19761369309518897,0.1499013364214136,0.06,0.003,2.37938629240339
27,988.9125819790464,6.5424107610397675,4.328578342774573,0.21642891713872858,0.14960573506572392,0.06,0.003,2.374694207392443
28,987.9045387205905,7.120312214860875,4.738237204331441,0.236911860216572,0.14911436253643445,0.06,0.003,2.3668946434354674
