day,S,I,R,D,beta,gamma,mu,R0
0,999.0,1.0,0.0,0.0,0.15,0.06,0.003,2.380952380952381
1,998.8435392588266,1.0906458119607805,0.06268088496417303,0.003134044248208651,0.14986301369863014,0.06,0.003,2.3787779952163515
2,998.6730937221486,1.1893164292511973,0.13103795104758983,0.006551897552379491,0.14972602739726026,0.06,0.003,2.3766036094803216
3,998.4874464018305,1.296701822731791,0.2055731194642706,0.01027865597321353,0.1495890410958904,0.06,0.003,2.374429223744292
4,998.2852781991627,1.4135488676043952,0.2868313649836075,0.014341568249180377,0.14945205479452053,0.06,0.003,2.372254838008262
5,998.0651596296984,1.540665820528706,0.3754043331167527,0.01877021665583764,0.14931506849315068,0.06,0.003,2.370080452272233
6,997.8255422645927,1.6789269291671198,0.47193410118076995,0.023596705059038502,0.1491780821917808,0.06,0.003,2.3679060665362033
7,997.5647493872862,1.8292774414340067,0.5771173059804884,0.028855865299024428,0.14904109589041095,0.06,0.003,2.365731680800174
8,997.280966032366,1.9927389177032335,0.6917095713622735,0.034585478568113684,0.1489041095890411,0.06,0.003,2.3635572950641444
9,996.9722284290209,2.170414831410494,0.8165302281602906,0.040826511408014535,0.14876712328767122,0.06,0.003,2.3613829093281145
10,996.6364127012919,2.363496523951868,0.9524674045294004,0.04762337022647003,0.14863013698630137,0.06,0.003,2.3592085235920854
11,996.2712226940804,2.5732695727423596,1.100483555406604,0.055024177770330196,0.1484931506849315,0.06,0.003,2.3570341378560555
12,995.8741773605341,2.801120347034704,1.261621230886606,0.06308106154433031,0.14835616438356164,0.06,0.003,2.354859752120026
13,995.4425971639696,3.0485430074516273,1.437009360550879,0.07185046802754398,0.1482191780821918,0.06,0.003,2.3526853663839966
14,994.9735897502807,3.317146815127048,1.6278699377066093,0.08139349688533049,0.1480821917808219,0.06,0.003,2.3505109806479667
15,994.4640348155721,3.6086637686603757,1.8355251578735083,0.09177625789367545,0.14794520547945206,0.06,0.003,2.3483365949119372
