day,S,I,R,D,beta,gamma,mu,R0
0,999.0,1.0,0.0,0.0,0.1,0.06,0.003,1.5873015873015874
1,998.896852412026,1.037863974751662,0.062227304837113605,0.0030563083853495264,0.10268917926710303,0.062142682737583645,0.003,1.5763732003603403
2,998.7869499095277,1.077756732724899,0.12906414738094488,0.006229210366325481,0.1053567068439591,0.06421649788897611,0.003,1.567423328391499
3,998.669896038954,1.1198782254758914,0.20070066028078487,0.009525075289122362,0.10798110536700026,0.06615479132887087,0.003,1.5614406940147922
4,998.5452804932054,1.164499393558158,0.2772691363858295,0.012950976850326423,0.1105412447224403,0.06789526471127655,0.003,1.5592190137468755
5,998.4126722239731,1.2119688708379754,0.3588439880567194,0.016514917131951367,0.11301651217352676,0.06938197778961636,0.003,1.5613902192893612
6,998.2716113734461,1.2627182797984997,0.44544427963138244,0.020226067123783387,0.1153869783221772,0.07056714638228086,0.003,1.568457986974046
7,998.1216002020834,1.3172661946924065,0.5370385808512526,0.02409502237268698,0.1176335575687742,0.07141267819554184,0.003,1.5808268217366992
8,997.9620933849252,1.3762207437101848,0.6335518034924982,0.028134067871948165,0.11973816177819137,0.0718913971412152,0.003,1.5988239817774144
9,997.7924880011427,1.4402807503623027,0.7348737993241907,0.03235744917068237,0.12168384591482176,0.07198791679849578,0.003,1.6227127130602281
10,997.6121137510756,1.5102355144524304,0.840869090371569,0.036781644100224026,0.12345494447404089,0.07169913494618188,0.003,1.6526957716844495
11,997.4202238131428,1.5869628965412979,0.951387658343246,0.0414256319725471,0.1250371976116391,0.07103433327061741,0.003,1.688908268473103
12,997.2159869590694,1.671425393989764,1.0662764930473843,0.0463111538932769,0.12641786595570215,0.07001487904465563,0.003,1.7313986903735805
13,996.9984815543432,1.764663600939935,1.185391887142523,0.051462957574082174,0.1275858331765435,0.0686735383659287,0.003,1.7800967565624433
14,996.7666921390073,1.867786215525283,1.3086126276988423,0.056909017768409044,0.1285316954888546,0.06705342302750968,0.003,1.8347668098728132
15,996.519509436083,1.9819554272696687,1.4358544167504235,0.06268071989668661,0.12924783736545473,0.0652066048694107,0.003,1.894946062964348
16,996.2557346618362,2.108366379754848,1.567085967090226,0.06881299131860791,0.12972849285303806,0.0631924421468001,0.003,1.9598686594056938
17,995.9740891166638,2.2482192167446162,1.7023473061999397,0.07534436039145409,0.12996979199623945,0.061075671706841195,0.003,2.0283797037801934
18,995.6732300972039,2.4026822046481096,1.8417707796125726,0.08231691853529458,0.12996979199623945,0.058924328293158794,0.003,2.0988486363702408
19,995.3517741268026,2.5728446363422406,1.9856050802059242,0.08977615664899327,0.12972849285303806,0.056807557853199894,0.003,2.1690986475565843
20,995.0083283882611,2.759658676896662,2.134242291059633,0.0977706437823102,0.12924783736545473,0.0547933951305893,0.003,2.236377307015928
21,994.6415309743546,2.9638701164424957,2.288247394630618,0.1063515145720947,0.12853169548885462,0.05294657697249032,0.003,2.297400528222761
22,994.2501001239905,3.185939175114538,2.448388967337343,0.11557173355743139,0.12758583317654354,0.051326461634071306,0.003,2.3485025407310345
23,993.832891972038,3.425954030826987,2.6156688869286615,0.12548511020607056,0.12641786595570215,0.04998512095534437,0.003,2.385912567081739
24,993.3889654533308,3.6835417298547743,2.791347768139008,0.13614504867525132,0.1250371976116391,0.048965666729382594,0.003,2.406150165700465
25,992.9176519857667,3.9577829690163773,2.9769620101653254,0.1476030350514497,0.12345494447404089,0.048300865053818115,0.003,2.4064885522793467
26,992.4186265349136,4.247139097934428,3.1743274829209036,0.1599068842309057,0.12168384591482176,0.04801208320150422,0.003,2.385392602653671
27,991.8919753403269,4.54940142998666,3.385524430106318,0.17309879957997287,0.1197381617781914,0.04810860285878478,0.003,2.3428181378589623
28,991.3382549933505,4.861672987271009,3.6128586939804137,0.18721332539788427,0.11763355756877421,0.048587321804458156,0.003,2.2802803761487063
29,990.7585367944489,5.180392396257469,3.858795502682034,0.20227530661139054,0.1153869783221772,0.04943285361771914,0.003,2.2006618057343985
30,990.1544305843718,5.501407097248663,4.125864326104817,0.21829799227462543,0.11301651217352676,0.05061802221038364,0.003,2.1078082986738744
31,989.5280829550329,5.820099119308854,4.416536487965797,0.23528143769214244,0.1105412447224403,0.05210473528872344,0.003,2.0060207919202417
32,988.8821463628724,6.131561271515661,4.733081004817542,0.2532113607939412,0.10798110536700026,0.053845208671129116,0.003,1.8995638839451097
33,988.2197178947692,6.4308155597630785,5.077407952806869,0.2720585926604738,0.1053567068439591,0.05578350211102388,0.003,1.7922836010173877
34,987.5442491198306,6.7130595551816015,5.45091209492183,0.2917792300656182,0.10268917926710303,0.05785731726241635,0.003,1.6873760442693844
35,986.8594313521031,6.973921572812932,5.854331529594563,0.31231554548907625,0.1,0.06,0.003,1.5873015873015874
36,986.1690632048053,7.2097027567163146,6.287636389896665,0.3335976485814045,0.097310820732897,0.06214268273758363,0.003,1.4938104579588367
37,985.4769092085355,7.41758426955113,6.749960695412268,0.3555458265008552,0.09464329315604092,0.06421649788897611,0.003,1.40803665957674
38,984.7865591510423,7.595780857556143,7.239586561496081,0.37807342990531856,0.09201889463299975,0.06615479132887087,0.003,1.3306221140252872
39,984.1012977178923,7.743627457898495,7.753984702785694,0.40109012142337014,0.08945875527755973,0.06789526471127655,0.003,1.2618438712639504
40,983.4239926278028,7.861593166368465,8.289908930381417,0.4245052754470246,0.08698348782647326,0.06938197778961636,0.003,1.2017285308132541
41,982.7570073429816,7.951224704318356,8.843536640392436,0.448231312307363,0.08461302167782284,0.07056714638228084,0.003,1.1501468500374301
42,982.1021417304152,8.015028735785483,9.410642765639501,0.4721867681596508,0.08236644243122582,0.07141267819554184,0.003,1.1068872190674692
43,981.4606012857054,8.056307716676733,9.986792059114055,0.49629893850366236,0.08026183822180863,0.0718913971412152,0.003,1.0717097194817573
44,980.8329929957945,8.078967153433835,10.567533869718055,0.5205059810534718,0.07831615408517828,0.07198791679849578,0.003,1.044383647776561
45,980.2193438959323,8.087312498692912,11.148585184783226,0.5447584205913537,0.07654505552595912,0.0716991349461819,0.003,1.0247114050397925
46,979.619137129616,8.085852149253686,11.725990671150438,0.5690200499796579,0.07496280238836094,0.07103433327061741,0.003,1.0125410613795858
47,979.0313598209584,8.079119514407015,12.296252398471713,0.5932682661625296,0.07358213404429786,0.07001487904465563,0.003,1.0077690329295115
48,978.4545572223036,8.071522890615698,12.856425974869014,0.6174939122113768,0.07241416682345649,0.0686735383659287,0.003,1.0103333597644715
49,977.886888196148,8.067227526485976,13.404183559901233,0.6417007174645805,0.0714683045111454,0.06705342302750968,0.003,1.020197178417393
50,977.3261782766788,8.070070233584614,13.937847059000667,0.6659044307356385,0.0707521626345453,0.0652066048694107,0.003,1.037321279515501
51,976.7699673637762,8.083503944275533,14.456396945872115,0.6901317460759038,0.07027150714696195,0.0631924421468001,0.003,1.061624331537963
52,976.2155506131342,8.110567546331733,14.9594627401172,0.714419100416729,0.07003020800376057,0.06107567170684121,0.003,1.0929297522492238
53,975.6600119251142,8.153875414373887,15.447301249348168,0.7388114111636062,0.07003020800376057,0.0589243282931588,0.003,1.1308997599816886
54,975.100250279243,8.21562095177023,15.9207679637494,0.7633608052371563,0.07027150714696195,0.0568075578531999,0.003,1.1749603172135241
55,974.532999881634,8.297589019475382,16.381285725791397,0.7881253730989535,0.0707521626345453,0.054793395130589305,0.003,1.2242257523489406
56,973.9548455137783,8.401173178767012,16.83081333925999,0.8131679681945376,0.07146830451114539,0.05294657697249032,0.003,1.2774383774415243
57,973.3622347445643,8.52739496391848,17.271815229829066,0.8385550616881341,0.07241416682345649,0.051326461634071306,0.003,1.332944658005139
58,972.7514887580816,8.676923771316648,17.707231814475946,0.8643556561257061,0.07358213404429785,0.04998512095534437,0.003,1.3887320198119875
59,972.1188135700634,8.850097313780005,18.140448856411773,0.8906402597447265,0.07496280238836092,0.048965666729382594,0.003,1.4425448013346707
60,971.4603127160532,9.046943430697091,18.575263930008475,0.9174799232410429,0.07654505552595911,0.04830086505381812,0.003,1.4920811850961597
